,fips,0-9,20-29,30-39,40-49,50-59,60-69,70-79,80+,Total Population,Population Aged 60+,STATE_FIPS,CNTY_FIPS,anycondition_prevalence,anycondition_Lower 95% CI,anycondition_Upper 95% CI,anycondition_number,Obesity_prevalence,Obesity_Lower 95% CI,Obesity_Upper 95% CI,Obesity_number,Heart disease_prevalence,Heart disease_Lower 95% CI,Heart disease_Upper 95% CI,Heart disease_number,COPD_prevalence,COPD_Lower 95% CI,COPD_Upper 95% CI,COPD_number,diabetes_prevalence,diabetes_Lower 95% CI,diabetes_Upper 95% CI,diabetes_number,CKD_prevalence,CKD_Lower 95% CI,CKD_Upper 95% CI,CKD_number,10-19
0,1001,-0.14242131895629762,-0.15314419061198767,-0.1393844644520811,-0.1220103931898712,-0.13812931426261624,-0.17646098816164874,-0.15629405802883226,-0.1675978276219246,-0.1437268462115698,-0.17590655499585667,1,1,47.6,45.4,49.4,-0.1335518745315481,35.8,34.2,37.3,-0.13542589080276624,7.9,7.2,8.7,-0.14427863590273757,8.6,7.3,9.9,-0.13890034516619884,12.9,11.9,13.8,5462,3.1,2.9,3.3,-0.14752308164770342,-0.13555568038803065
1,1003,0.2874763629098708,0.18377445373306592,0.2306203230459819,0.3325134441125964,0.3827324758457122,0.5219987439668681,0.6761737573228019,0.442092495507775,0.3080183209931021,0.5243984518119194,1,3,40.2,38.2,42.3,0.3580890349893359,29.7,28.4,31.0,0.342285628716782,7.8,7.0,8.7,0.500640967249729,8.6,7.2,10.1,0.5639858958850218,12.0,11.0,13.1,20520,3.2,3.0,3.5,0.3897905899445762,0.3203825319653283
2,1005,-0.2394293935232043,-0.2259707462724657,-0.2187586982742213,-0.22572538906755513,-0.24254515316423186,-0.25614091280088463,-0.24532857624066756,-0.24768497096477066,-0.23154858710546908,-0.24713257124784302,1,5,57.5,55.6,59.1,-0.22312318631983727,40.7,39.5,41.9,-0.23186000883443394,11.0,10.1,11.8,-0.22024195394214816,12.1,10.7,13.3,-0.21976280102935067,19.7,18.6,20.6,3870,4.5,4.2,4.8,-0.20432074642714257,-0.2461814854916133
3,1007,-0.2460321625936029,-0.23079222738128957,-0.2205552344306895,-0.22655363659452865,-0.246361247724986,-0.27152638188576983,-0.27101350646678396,-0.26948923462850616,-0.24257693889242274,-0.26956070396656817,1,7,51.6,49.6,53.4,-0.24471699285416398,38.7,37.4,40.2,-0.24688922583686237,8.6,7.9,9.3,-0.2603372634637932,10.0,8.8,11.3,-0.256917540780791,14.1,13.2,14.9,2511,3.3,3.1,3.6,-0.24209960318248705,-0.25479123384690605
4,1009,-0.13505301144295428,-0.15588779492495858,-0.14356957708930815,-0.12449513577079176,-0.13564768221697246,-0.14345901210197973,-0.1128613833086623,-0.14098501911979874,-0.13571370245253223,-0.12578936953796463,1,9,46.3,44.3,48.4,-0.12947585390703584,34.0,32.4,35.5,-0.1365137965911458,9.2,8.4,10.1,-0.09585682440375407,10.5,9.1,12.0,-0.0741976562497351,13.5,12.6,14.5,6017,3.4,3.2,3.7,-0.12410536564524674,-0.13714044176112022
5,1011,-0.27612739263186886,-0.26375582625919014,-0.254587345485604,-0.2671377654162311,-0.28754229270882947,-0.30994659282090686,-0.32129878253326905,-0.299998622568638,-0.2794355727851909,-0.3086837067192028,1,11,60.7,58.6,62.6,-0.28858225699438644,45.8,44.2,47.4,-0.29027114801545384,10.0,9.3,10.8,-0.3070297245520987,10.9,9.6,12.1,-0.31519449559640633,20.6,19.4,21.9,1651,4.5,4.2,4.8,-0.272503820091754,-0.2894667588162993
6,1013,-0.24854408560951538,-0.24578118329700568,-0.2363974169013636,-0.24311858713399903,-0.26097010052198333,-0.26752789839478275,-0.27411936175324336,-0.24395420341774365,-0.25005100000404507,-0.26340396165162405,1,13,58.1,56.2,59.7,-0.24774113718847954,41.2,39.8,42.5,-0.25481347787567626,10.4,9.6,11.2,-0.25681451262722693,11.4,10.0,12.7,-0.25997135500693674,18.6,17.5,19.5,2841,4.3,4.1,4.6,-0.2334311668721854,-0.2579844097479075
7,1015,0.009585908120921855,0.020045831644301487,-0.001051180404030191,0.019366858289358583,0.03949466998549091,0.0789493884546657,0.08670214366891764,0.0384234469194547,0.040508455623452226,0.09433859973841209,1,15,53.6,51.6,55.5,0.14822960089999399,40.9,39.4,42.3,0.1526139553402902,9.1,8.3,9.9,0.1632254871218917,10.2,8.9,11.7,0.21190656406229774,14.7,13.6,15.7,13182,3.6,3.3,3.8,0.09545189433358749,0.030016403367598764
8,1017,-0.2122288557223232,-0.2035377463017035,-0.207877405417431,-0.2026264858152937,-0.20782571614829107,-0.21511299524119082,-0.20943869293047038,-0.20880208253020047,-0.20811524309861418,-0.20884024007738342,1,17,55.7,54.2,57.4,-0.18761224733060022,39.1,37.7,40.4,-0.199666056059795,9.8,9.1,10.6,-0.19084299696062246,10.8,9.6,12.0,-0.18814309956279954,17.5,16.6,18.5,4664,4.0,3.8,4.2,-0.1809030304246859,-0.226028997583071
9,1019,-0.24368770111208454,-0.23436294770037672,-0.23298808124079326,-0.22273449522015076,-0.22861523743632575,-0.23093308209683547,-0.21619269569626298,-0.22820207377474083,-0.23260238708290237,-0.2249324660222639,1,19,55.9,53.7,58.1,-0.21863248369630514,39.1,37.3,41.0,-0.22898578860340651,10.8,9.8,12.0,-0.2123638020712818,12.1,10.4,13.9,-0.2091380723675518,15.9,14.7,17.2,3353,3.9,3.6,4.2,-0.2137654606159787,-0.24568476924034643
